"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/-25-GRAM-Manik-Daun-Fiddle-Leaf-Mote-Daun-Mutiara-Manik-Mutiara-Daun-Pearl-Clover-i.235245330.27912207762?extraParams=%7B%22display_model_id%22%3A246883399868%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw3-mcvt8la3pw5c6a","[25 GRAM] Manik Daun Fiddle Leaf / Mote Daun Mutiara / Manik Mutiara Daun / Pearl Clover","8.000","5.0","229 terjual"
"https://shopee.co.id/-10-GRAM-Manik-Daun-Fiddle-Leaf-Mote-Daun-Mutiara-Manik-Mutiara-Daun-Pearl-Clover-i.235245330.27912207722?extraParams=%7B%22display_model_id%22%3A257594747708%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyi-mcvt7bfqvsw0c8","[10 GRAM] Manik Daun Fiddle Leaf / Mote Daun Mutiara / Manik Mutiara Daun / Pearl Clover","5.000","4.9","828 terjual"
"https://shopee.co.id/-10-GRAM-Manik-Kelopak-Bunga-Cerastium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.27373588437?extraParams=%7B%22display_model_id%22%3A206026625092%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvs-mcrdnp0a900ee7","[10 GRAM] Manik Kelopak Bunga Cerastium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","5.000","4.9","307 terjual"
"https://shopee.co.id/-100-GRAM-Manik-Kelopak-Bunga-Trillium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.27000956880?extraParams=%7B%22display_model_id%22%3A195500784191%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx2-mcrehzta3u9seb","[100 GRAM] Manik Kelopak Bunga Trillium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","28.000","5.0","10 terjual"
"https://shopee.co.id/-5-GRAM-Manik-Daun-Fiddle-Leaf-Mote-Daun-Mutiara-Manik-Mutiara-Daun-Pearl-Clover-i.235245330.29312204921?extraParams=%7B%22display_model_id%22%3A237346563010%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwf-mcvt6ws0dhrwa7","[5 GRAM] Manik Daun Fiddle Leaf / Mote Daun Mutiara / Manik Mutiara Daun / Pearl Clover","3.500","5.0","327 terjual"
"https://shopee.co.id/-5-GRAM-Manik-Kelopak-Bunga-Trillium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.26750957150?extraParams=%7B%22display_model_id%22%3A176760278253%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvj-mcreh9e4owwjb3","[5 GRAM] Manik Kelopak Bunga Trillium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","3.500","4.9","58 terjual"
"https://shopee.co.id/-5-GRAM-Manik-Kelopak-Bunga-Evening-Primrose-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.27000956571?extraParams=%7B%22display_model_id%22%3A247594817547%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyr-mcrcy0d5e5a4d6","[5 GRAM] Manik Kelopak Bunga Evening Primrose / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","3.500","4.8","267 terjual"
"https://shopee.co.id/-5-GRAM-Manik-Kelopak-Bunga-Cerastium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.27973592799?extraParams=%7B%22display_model_id%22%3A227735302187%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwb-mcrdli3bqfwg30","[5 GRAM] Manik Kelopak Bunga Cerastium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","3.500","4.8","198 terjual"
"https://shopee.co.id/-10-GRAM-Manik-Kelopak-Bunga-Rosaceae-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.27412239631?extraParams=%7B%22display_model_id%22%3A39817544380%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwj-mcrgbe94juwsb4","[10 GRAM] Manik Kelopak Bunga Rosaceae / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","5.000","4.8","204 terjual"
"https://shopee.co.id/-10-GRAM-Manik-Kelopak-Bunga-Evening-Primrose-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.24531268022?extraParams=%7B%22display_model_id%22%3A149006747109%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvd-mcrcwcvegabkd9","[10 GRAM] Manik Kelopak Bunga Evening Primrose / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","5.000","4.9","92 terjual"
"https://shopee.co.id/-100-GRAM-Manik-Daun-Fiddle-Leaf-Mote-Daun-Mutiara-Manik-Mutiara-Daun-Pearl-Clover-i.235245330.29612215205?extraParams=%7B%22display_model_id%22%3A148853995596%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvv-mcvt94w91y4939","[100 GRAM] Manik Daun Fiddle Leaf / Mote Daun Mutiara / Manik Mutiara Daun / Pearl Clover","28.000","4.7","22 terjual"
"https://shopee.co.id/-50-GRAM-Manik-Kelopak-Bunga-Rosaceae-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.28712239521?extraParams=%7B%22display_model_id%22%3A233256810692%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyu-mcrgcc0f5f7gb3","[50 GRAM] Manik Kelopak Bunga Rosaceae / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","15.000","4.7","31 terjual"
"https://shopee.co.id/-50-GRAM-Manik-Kelopak-Bunga-Evening-Primrose-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.25431267460?extraParams=%7B%22display_model_id%22%3A247594810324%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvf-mcrcxdtacr4ed3","[50 GRAM] Manik Kelopak Bunga Evening Primrose / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","15.000","4.7","52 terjual"
"https://shopee.co.id/-100-GRAM-Manik-Kelopak-Bunga-Cerastium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.26623592795?extraParams=%7B%22display_model_id%22%3A157813988066%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyf-mcrdmk6a2zi856","[100 GRAM] Manik Kelopak Bunga Cerastium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","28.000","5.0","48 terjual"
"https://shopee.co.id/-100-GRAM-Mote-Manik-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-Warna-Broken-White-i.235245330.27050956604?extraParams=%7B%22display_model_id%22%3A109272149737%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdy7-mcqdgbp5zco60b","[100 GRAM] Mote / Manik Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover Warna Broken White","28.000","4.9","185 terjual"
"https://shopee.co.id/-25-GRAM-Manik-Kelopak-Bunga-Evening-Primrose-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.26250951787?extraParams=%7B%22display_model_id%22%3A242594799241%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxd-mcrcvsxbn53n31","[25 GRAM] Manik Kelopak Bunga Evening Primrose / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","8.000","4.9","104 terjual"
"https://shopee.co.id/-5-GRAM-Manik-Kelopak-Bunga-Catalinae-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.29365637202?extraParams=%7B%22display_model_id%22%3A251883627799%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx9-mcrg1s7sxn3wd4","[5 GRAM] Manik Kelopak Bunga Catalinae / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","3.500","4.7","38 terjual"
"https://shopee.co.id/-50-GRAM-Manik-Kelopak-Bunga-Catalinae-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.29715632416?extraParams=%7B%22display_model_id%22%3A197919422350%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw3-mcrg2l4kpekg83","[50 GRAM] Manik Kelopak Bunga Catalinae / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","15.000","5.0","7 terjual"
