"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/-100-pcs-Akrilik-Tetes-AB-Pelangi-Diamond-Acrylic-Payet-Akrilik-Tetes-Pelangi-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.20156840123?extraParams=%7B%22display_model_id%22%3A107611498274%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyn-mda2qwlgb8afe9","[100 pcs] Akrilik Tetes AB / Pelangi / Diamond Acrylic / Payet Akrilik Tetes Pelangi Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","18.000","4.8","2RB+ terjual"
"https://shopee.co.id/-25-Pcs-Akrilik-Bulat-10mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-10mm-i.235245330.29850509868?extraParams=%7B%22display_model_id%22%3A98926707691%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxf-md1ojl1qs14na2","[25 Pcs] Akrilik Bulat 10mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 10mm","10.000","4.8","1RB+ terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Mata-7x15mm-Diamond-Kristal-Akrilik-Acrylic-Mata-Sampan-7x15mm-Warna-Warni-Grade-A-i.235245330.29650550224?extraParams=%7B%22display_model_id%22%3A127929858596%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwg-md44fuqtvlk6e3","[100 pcs] Akrilik Mata 7x15mm / Diamond Kristal Akrilik / Acrylic Mata / Sampan 7x15mm Warna-Warni Grade A","18.000","4.9","1RB+ terjual"
"https://shopee.co.id/-5-pcs-Akrilik-Tetes-8x13mm-Diamond-Kristal-Akrilik-Acrylic-Tetes-8x13mm-Warna-Warni-Grade-A-i.235245330.28704888389?extraParams=%7B%22display_model_id%22%3A138997967996%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwl-md1p2dmep00e49","[5 pcs] Akrilik Tetes 8x13mm / Diamond Kristal Akrilik / Acrylic Tetes 8x13mm Warna-Warni Grade A","4.500","4.8","365 terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Bulat-8mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-8mm-i.235245330.29950512233?extraParams=%7B%22display_model_id%22%3A226355217331%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwq-md1nsy1y6tse97","[50 pcs] Akrilik Bulat 8mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 8mm","12.500","4.9","616 terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Mata-7x15mm-Diamond-Kristal-Akrilik-Acrylic-Mata-Sampan-7x15mm-Warna-Warni-Grade-A-i.235245330.27750544870?extraParams=%7B%22display_model_id%22%3A222974596354%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyf-md44dswpxetcca","[50 pcs] Akrilik Mata 7x15mm / Diamond Kristal Akrilik / Acrylic Mata / Sampan 7x15mm Warna-Warni Grade A","15.000","4.9","858 terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Tetes-AB-Pelangi-Diamond-Acrylic-Payet-Akrilik-Tetes-Pelangi-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.12597171344?extraParams=%7B%22display_model_id%22%3A182862657099%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxj-mda2sza325am33","[50 pcs] Akrilik Tetes AB / Pelangi / Diamond Acrylic / Payet Akrilik Tetes Pelangi Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","13.500","4.9","1RB+ terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Bulat-8mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-8mm-i.235245330.29250512049?extraParams=%7B%22display_model_id%22%3A226519932613%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdy1-md1nwar1ixxwde","[100 pcs] Akrilik Bulat 8mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 8mm","18.000","4.9","665 terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Bulat-8mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-8mm-i.235245330.26600512118?extraParams=%7B%22display_model_id%22%3A88926729536%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxl-md1ny51si8fw40","[25 pcs] Akrilik Bulat 8mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 8mm","11.000","4.9","504 terjual"
"https://shopee.co.id/-10-pcs-Akrilik-Bulat-Putih-Crystal-Diamond-Acrylic-Payet-Akrilik-Putih-Grade-A-Bulat-Round-8mm-10mm-12mm-i.235245330.22550324085?extraParams=%7B%22display_model_id%22%3A216931925406%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw1-mda1j7hkd6c49b","[10 pcs] Akrilik Bulat Putih Crystal / Diamond Acrylic / Payet Akrilik Putih Grade A Bulat Round 8mm , 10mm , 12mm","8.250","4.9","126 terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Tetes-8x13mm-Diamond-Kristal-Akrilik-Acrylic-Tetes-8x13mm-Warna-Warni-Grade-A-i.235245330.29454992701?extraParams=%7B%22display_model_id%22%3A236532105632%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwt-md1pa2uj35kw18","[50 pcs] Akrilik Tetes 8x13mm / Diamond Kristal Akrilik / Acrylic Tetes 8x13mm Warna-Warni Grade A","12.500","4.9","4RB+ terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Tetes-8x13mm-Diamond-Kristal-Akrilik-Acrylic-Tetes-8x13mm-Warna-Warni-Grade-A-i.235245330.28754989593?extraParams=%7B%22display_model_id%22%3A98958002650%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyo-md1p8ai98p872e","[100 pcs] Akrilik Tetes 8x13mm / Diamond Kristal Akrilik / Acrylic Tetes 8x13mm Warna-Warni Grade A","18.000","4.9","3RB+ terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Mata-5x10mm-Diamond-Kristal-Akrilik-Acrylic-Mata-Sampan-5x10mm-Warna-Warni-Grade-A-i.235245330.28900550678?extraParams=%7B%22display_model_id%22%3A250867058047%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvz-md45a3mgfqih4a","[25 pcs] Akrilik Mata 5x10mm / Diamond Kristal Akrilik / Acrylic Mata / Sampan 5x10mm Warna-Warni Grade A","10.000","4.8","739 terjual"
"https://shopee.co.id/-5-pcs-Akrilik-Tetes-AB-Pelangi-Diamond-Acrylic-Payet-Akrilik-Tetes-Pelangi-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.19956840329?extraParams=%7B%22display_model_id%22%3A187640404783%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx4-mda2rkmv67gu3d","[5 pcs] Akrilik Tetes AB / Pelangi / Diamond Acrylic / Payet Akrilik Tetes Pelangi Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","4.500","4.9","75 terjual"
"https://shopee.co.id/-10-pcs-Akrilik-Tetes-8x13mm-Diamond-Kristal-Akrilik-Acrylic-Tetes-8x13mm-Warna-Warni-Grade-A-i.235245330.27654992641?extraParams=%7B%22display_model_id%22%3A127979142146%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdww-md1p457hq0mv0b","[10 pcs] Akrilik Tetes 8x13mm / Diamond Kristal Akrilik / Acrylic Tetes 8x13mm Warna-Warni Grade A","6.000","4.9","874 terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Bulat-10mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-10mm-i.235245330.27550504825?extraParams=%7B%22display_model_id%22%3A222813565749%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvu-md1on6pj1ak7ff","[100 pcs] Akrilik Bulat 10mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 10mm","18.000","4.9","701 terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Mata-Putih-Crystal-Diamond-Kristal-Akrilik-Payet-Acrylic-Mata-Putih-Grade-A-Mata-5x10mm-7x15mm-i.235245330.22167067955?extraParams=%7B%22display_model_id%22%3A225177868497%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvg-mda1237ibyrb94","[25 pcs] Akrilik Mata Putih Crystal / Diamond Kristal Akrilik / Payet Acrylic Mata Putih Grade A Mata 5x10mm , 7x15mm","10.700","4.8","2RB+ terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Tetes-Putih-Crystal-Diamond-Acrylic-Payet-Kristal-Akrilik-Tetes-Putih-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.23867066807?extraParams=%7B%22display_model_id%22%3A158699112374%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvc-mda18tghtutq8c","[25 pcs] Akrilik Tetes Putih Crystal / Diamond Acrylic / Payet Kristal Akrilik Tetes Putih Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","10.000","4.8","273 terjual"
"https://shopee.co.id/-5-pcs-Akrilik-Mata-5x10mm-Diamond-Kristal-Akrilik-Acrylic-Mata-Sampan-5x10mm-Warna-Warni-Grade-A-i.235245330.27500550180?extraParams=%7B%22display_model_id%22%3A255867019298%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxd-md45bsetljp5c9","[5 pcs] Akrilik Mata 5x10mm / Diamond Kristal Akrilik / Acrylic Mata / Sampan 5x10mm Warna-Warni Grade A","4.000","5.0","78 terjual"
